DocID,typeOfMaterial,news_desk,headline,lead_paragraph,word_count,publication_date,person,keywords,glocation,section_name
4fc4a8a045c1498b0dac66bf,Article, , Women At Ease; Women ,"IMES change. So do novels. During the last decade, when members of the women's movement debated whether it was, indeed, so nice to ...IMES change. So do novels. During the last decade, when members of the women's movement debated whether it was, indeed, so nice to ... | Silber, Joan: Household Words reviewed by Susan Isaacs | ",1779,03/02/1980, Susan ISAACS | ," SPEED OF LIGHT | STEPPING | HOUSEHOLD WORDS | CRAVENS, GWYNETH | THAYER, NANCY | SILBER, JOAN | BOOK REVIEWS | BOOK REVIEWS | BOOK REVIEWS | ", , 
4fc4a75f45c1498b0dac059a,Article,Health, NEW PARENTAL PUSH AGAINST MARIJUANA; MARIJUANA ,"""I cried for a week,"" Ednis Smith said. She had found a marijuana pipe in the wash with her daughter's blue jeans. ""I just stayed at home and wept. How could I explain to people that my beautiful 16-year-old daughter had been on pot ever since she was in junior high?"" Mrs. Smith is a Mormon, a ...""I cried for a week,"" Ednis Smith said. She had found a marijuana pipe in the wash with her daughter's blue jeans. ""I just stayed at home and wept. How could I explain to people that my beautiful 16-year-old daughter had been on pot ever since she was in junior high?"" Mrs. Smith is a Mormon, a ... | ""I cried for a week,"" Ednis Smith said. She had found a marijuana pipe in the wash with her daughter's blue jeans. ""I just stayed at home and wept. How could I explain to people that my beautiful 16-year-old daughter had been on pot ever since she... | ",4601,10/02/1980, Elisabeth Brynner | , , , 
4fc4a76745c1498b0dac0f60,Article,, Midwives Fighting Plan to Stiffen Rules ,"TRENTON MIDWIVES are supposed to work closely with physicians, but just how closely --and in what setting--is a topic now dividing health professionals in New Jersey.TRENTON MIDWIVES are supposed to work closely with physicians, but just how closely --and in what setting--is a topic now dividing health professionals in New Jersey. | Article on controversy over role of midwives in health care system notes Certified Nurse-Midwives (CNM's) are voicing strong disapproval of proposal by NJ Medical Examiners Board to regulate their profession more strictly (L) | ",1254,24/02/1980, Fern SHEN | ," PREGNANCY, OBSTETRICS AND MATERNAL WELFARE | ", , 
4fc4a52945c1498b0dab73e1,Article, , Literary Lives; Mansfield Authors' Queries Conrad Maugham ,"A GOOD case could be made for the short story being the most flexible of all forms and, as such, the key to ""modernism"": it can accommodate everything from the prose poem to the well-made plot, allows for the undercurrents that emanated from Vienna in the 1920's, the seemingly formless but beautifully ...A GOOD case could be made for the short story being the most flexible of all forms and, as such, the key to ""modernism"": it can accommodate everything from the prose poem to the well-made plot, allows for the undercurrents that emanated from Vienna in the 1920's, the seemingly formless but beautifully ... | A GOOD case could be made for the short story being the most  flexible of all forms and, as such, the key to ""modernism"": it can accommodate everything from the prose poem to the well-made plot, allows for the undercurrents that emanated from Vienna... | Watt, Ian: Conrad in the Nineteenth Century reviewed by Edward W Said | ",7882,09/03/1980, Howard EDWARD | ," KATHERINE MANSFIELD: A BIOGRAPHY | CONRAD IN THE NINETEENTH CENTURY | CONRAD, JOSEPH | MANSFIELD, KATHERINE | MEYERS, JEFFREY | WATT, IAN | BOOK REVIEWS | BOOK REVIEWS | ", , 
4fc4a46245c1498b0dab3b7f,Article, , SUBURBIA: END OF THE GOLDEN AGE; By William Severini Kowinski SUBURBIA ,"""Tricycles,"" she said. Liz Krempasky was talking about her latest visit to Old Bethpage, the Long Island suburb where she grew up after her parents moved there from the South Bronx in 1957. She was Betty McRedmond then.""Tricycles,"" she said. Liz Krempasky was talking about her latest visit to Old Bethpage, the Long Island suburb where she grew up after her parents moved there from the South Bronx in 1957. She was Betty McRedmond then. | William Serverini Kowinski article on suburbia; notes that in last 10 years suburbs in East and Midwest have become heirs to their cities' problems; notes suburbs are not geared to today's couples who want day care, public transportation and mix of different kinds of housing; says suburbs must provide new suburbanites with housing they can afford; mounting energy crisis and related economic pressures could push suburbia in right direction, forcing it to create more energy-efficient housing mix that includes multifamily dwellings and apartments; attraction of young people who grew up in suburbs to cities and to exurbia discussed; illus (L) | ",6669,16/03/1980, F. Fitzgerald | , NEW YORK STATE | UNITED STATES | UNITED STATES | HOUSING | HOUSING | SOCIAL CONDITIONS AND TRENDS | URBAN AREAS | , NEW YORK STATE | UNITED STATES | UNITED STATES | , 
4fc4a52445c1498b0dab6e59,Article,, ABORTION: AN ISSUE THAT WON'T GO AWAY; ABORTION ,"Carolyn Gerster flicks a switch and the wall of an Arizona family room is filled by a slide of ""those rascals""-- the nine United States Supreme Court justices who voted 7 to 2 to legalize elective abortion in January 1973. She reads out their names with a disdain befitting ...Carolyn Gerster flicks a switch and the wall of an Arizona family room is filled by a slide of ""those rascals""-- the nine United States Supreme Court justices who voted 7 to 2 to legalize elective abortion in January 1973. She reads out their names with a disdain befitting ... | Carolyn Gerster flicks a switch and the wall of an Arizona family room is filled by a slide of ""those rascals""-- the nine United States Supreme Court justices who voted 7 to 2 to legalize elective abortion in January 1973. She reads out their names... | Russell Baker humorous article recalls his own experience as prospective father and scores new advances in medicine that permit parents to learn sex of their child before it is born; drawing (M) | ",7279,30/03/1980, Helen Epstein | ," CHINA, PEOPLE'S REPUBLIC OF | TRAVEL AND VACATIONS | PREGNANCY, OBSTETRICS AND MATERNAL WELFARE | "," CHINA, PEOPLE'S REPUBLIC OF | ", 
4fc4a82345c1498b0dac442b,Letter, , LETTERS TO THE NEW JERSEY EDITOR; New Vistas for Women And the Role of Teachers Support Urged for Bill On Pets in Apartments State Is Urged to Pass More Crime-Victim Laws Reader Sees Little Point In School Elections ,Barbara Siegel letter maintains NJ must make changes in educational system to make teaching more attractive to women because of increasing selection and availability of competing career choicesBarbara Siegel letter maintains NJ must make changes in educational system to make teaching more attractive to women because of increasing selection and availability of competing career choices | ,1182,06/04/1980, Barbara TROUPIANSKYVIRGINIA | , NEW JERSEY | UNITED STATES | NEW JERSEY | HOUSING | CATS | LABOR | WOMEN | CRIME AND CRIMINALS | PROFESSIONS | , NEW JERSEY | UNITED STATES | NEW JERSEY | , 
4fc4a35945c1498b0daaef03,Article,, ADOPTION: WHERE HAVE ALL THE BABIES GONE?; ADOPTION ,"After living with Mike for three months, Anne, 19, realized that she could not marry him just for the sake of the baby. ""When I found out I was pregnant, I considered all my op tions,"" she said.After living with Mike for three months, Anne, 19, realized that she could not marry him just for the sake of the baby. ""When I found out I was pregnant, I considered all my op tions,"" she said. | After living with Mike for three months, Anne, 19, realized that she could not marry him just for the sake of the baby. ""When I found out I was pregnant, I considered all my op  tions,"" she said. | Jacqueline Hornor Plumez article on falling off of adoptions in US and controversial changes adoption process is undergoing as result; notes that US adoptions peaked in '70 at 175,000 and fell to 104,000 by '77; says one of most constructive shifts in process has been improved attention to needs of approximately 100,000 hard-to-place children currently available for adoption, mostly older, minority-group or handicapped children who would have languished in foster care (L) | ",5784,13/04/1980, Jacqueline Plumez | , ADOPTIONS | , , 
4fc4a7cb45c1498b0dac2de4,Letter, ," Letters; As Man Keeps Striving for 'Universal Death' Smokes for the Hungry, Thanks to the Taxpayer Iran and the Red Cross Truth-Seekers To Stop the Suffering in Cambodia 2 Kinds of Spenders Taiwan vs. Democracy The Cold Warrior In the White House A Landslide for 'None of the Above'? Presidential Triumph ",letter from Arthur Zilversmit holds defense outlays are major source of inflation (S)letter from Arthur Zilversmit holds defense outlays are major source of inflation (S) | ,1933,27/04/1980, Stephen ZASAJUDITH | , AFGHANISTAN | TAIWAN | TAIWAN | IRAN | UNITED STATES | DEMOCRATIC PARTY | NEWS AND NEWS MEDIA | TAXATION | FEDERAL TAXES (US) | ARMS CONTROL AND LIMITATION AND DISARMAMENT | ATOMIC ENERGY AND WEAPONS | ATOMIC WEAPONS | PRESIDENTIAL ELECTION OF 1980 | PRESIDENTIAL CANDIDATES AND POST-CONVENTION CAMPAIGN | PRESIDENTIAL ELECTION OF 1980 | PRESIDENTIAL CANDIDATES AND POST-CONVENTION CAMPAIGN | OLYMPIC GAMES (1980) | SUMMER GAMES | WELFARE (US) | ECONOMIC CONDITIONS AND TRENDS | UNITED STATES ARMAMENT AND DEFENSE | BUDGET | , AFGHANISTAN | TAIWAN | TAIWAN | IRAN | UNITED STATES | , 
4fc4a35b45c1498b0daaf023,Article, , LIVING WITH APPARITIONS; APPARITIONS ,"Ruth sat in my office in London, staring fixedly at an empty corner about eight feet from her chair. He's here,"" she whispered.Ruth sat in my office in London, staring fixedly at an empty corner about eight feet from her chair. He's here,"" she whispered. | Ruth sat in my office in London, staring fixedly at an empty corner about eight feet from her chair.  He's here,"" she whispered. | Article by Dr Morton Schatzman, American psychiatrist living in London, on apparitions; discusses how he helped 25-year-old woman who was persecuted by hallucinations of her brutal father to cope with and master them; illus (L) | ",4146,27/04/1980, Morton Schatzman | , MENTAL HEALTH AND DISORDERS | , , 
4fc4a81945c1498b0dac3b62,Article, , WHAT MAKES HOLLYWOOD RUN NOW?; HOLLYWOOD ,"On my way to see the most recently appointed president of one of the major film studios, I thought of all the studio heads whose homes I had visited over the years, back when it was more than press-agent...On my way to see the most recently appointed president of one of the major film studios, I thought of all the studio heads whose homes I had visited over the years, back when it was more than press-agent... | Article on Hollywood studio heads singles out 20th Century Fox's new chief, Sherry Lansing, as personification of new breed of studio mogul; illus (L) | ",8752,27/04/1980, Budd Schulberg | , UNITED STATES | MOTION PICTURES | , UNITED STATES | , 
4fc4a26345c1498b0daabc91,Article,Health," Personal Health; For children's safety, a special car seat. ","STARTING from the day a child is brought home from the hospital, studies have shown that the safest place to ride in a car is not in the arms or lap of an adult but in an infant or child car seat that is specially designed and tested for crashworthiness.STARTING from the day a child is brought home from the hospital, studies have shown that the safest place to ride in a car is not in the arms or lap of an adult but in an infant or child car seat that is specially designed and tested for crashworthiness. | STARTING from the day a child is brought home from the hospital, studies have shown  that the safest place to ride in a car is not in the arms or lap of an adult but in an infant or child car seat that is specially designed and tested for... | Jane Brody article on children's car seats; drawing (M) | ",1456,23/04/1980, Jane Brody | , UNITED STATES | UNITED STATES | ROADS AND TRAFFIC | ACCIDENTS AND SAFETY | AUTOMOBILES | AUTOMOBILE SAFETY FEATURES AND DEFECTS | , UNITED STATES | UNITED STATES | , 
4fc4a49845c1498b0dab4501,Article, , Moshe Dayan Reflections on A Life of War and Peace; Mortality Friendly Enemies DAYAN A Personal Paradox The Warrior A Changing Land The Politician DAYAN The Past Lives ,"He had been plowing the rocky soil of the Jezreel Valley since dawn, and now, with the sun overhead, the 19-year-old farmer-soldier saw the Arabs coming at him with clubs and knives.He had been plowing the rocky soil of the Jezreel Valley since dawn, and now, with the sun overhead, the 19-year-old farmer-soldier saw the Arabs coming at him with clubs and knives. | Curtis Bill Pepper interview with former Israeli Foreign Min Moshe Dayan; Dayan discusses his private and public lives, changes that have overtaken Israel and his plan for Palestinian autonomy; illustrations (L) | ",6823,04/05/1980, Curtis Pepper | , MIDDLE EAST | ISRAELI-ARAB CONFLICT | , MIDDLE EAST | , 
4fc4a49a45c1498b0dab46ac,Article, , Article 7 -- No Title; WOMEN ATHLETES WOMEN ATHLETES ,"There has been, it seems fair to say, an explosion in women's competitive sports. If women have not yet achieved equal rights or equal time on the playing fields of America, or equal space in the halls of fame, they have, as they say, come a long way, and they are moving up fast.There has been, it seems fair to say, an explosion in women's competitive sports. If women have not yet achieved equal rights or equal time on the playing fields of America, or equal space in the halls of fame, they have, as they say, come a long way, and they are moving up fast. | There has been, it seems fair to say, an explosion in women's competitive sports. If women have not yet achieved equal rights or equal time on the playing fields of America, or equal space in the halls of fame, they have, as they say, come a long... | P S Wood article examines differences, physical and psychological, between men and women athletes; illus (L) | ",6386,18/05/1980, P. Wood | , ATHLETICS AND SPORTS | , , 
4fc4a8a045c1498b0dac6621,Letter, ," Letters; Peace via Neutrality, Starting With Afghanistan What Value a High School Diploma? The Other Elections Naked Men's Club Urban Peril A Proper Running Mate for Reagan Ponderous Prelude to Evacuation at Love Canal Oil on Western Tears ","Isidor Gorn letter regrets fact that Presidential election is overshadowing Congressional elections, since it is Congress that has 'power of the purse' and that enacts laws (S)Isidor Gorn letter regrets fact that Presidential election is overshadowing Congressional elections, since it is Congress that has 'power of the purse' and that enacts laws (S) | ",1769,25/05/1980, Paul de HEVESYRALPH | ," CARTER, JIMMY | AFGHANISTAN | UNITED STATES | MIDDLE EAST | UNITED STATES | YUGOSLAVIA | REPUBLICAN PARTY | UNIVERSITY CLUB | EDUCATION AND SCHOOLS | ISRAELI-ARAB CONFLICT | TRIBUTES TO OTHERS | LABOR | UNEMPLOYMENT AND JOB MARKET | SEWAGE AND INDUSTRIAL WASTES | PRESIDENTIAL ELECTION OF 1980 | PRESIDENTIAL ASPIRANTS AND PRE-CONVENTION CAMPAIGN | PRESIDENTIAL ELECTION OF 1980 | PRESIDENTIAL ASPIRANTS AND PRE-CONVENTION CAMPAIGN | OIL (PETROLEUM) AND GASOLINE | INTERNATIONAL TRADE AND WORLD MARKET | INTERNATIONAL RELATIONS | COMMUNIST-WESTERN RELATIONS | ELECTIONS (US) | CONGRESS (GENERAL) | ", AFGHANISTAN | UNITED STATES | MIDDLE EAST | UNITED STATES | YUGOSLAVIA | , 
4fc4a6f445c1498b0dabef6e,Front Page, ," DAMAGE BY VOLCANO MAY TOP $1.5 BILLION; Estimate Does Not Include Cost of Cleanup or Loss of Commerce Damage From Volcano Likely to Surpass $1.5 Billion 370,000 Are Out of Work $125 Million in Wheat Losses Concern in Fishing Industry ","PORTLAND, Ore., May 29--As Air Force Reserve and National Guard helicopters coursed through the gloomy air over ravaged Mount St. Helens in a continuing search for the dead, government officials sorted through the volcanic ash and ruin today in an attempt to compute the ultimate cost of the destruction, estimated at more than $1.5 billion.PORTLAND, Ore., May 29--As Air Force Reserve and National Guard helicopters coursed through the gloomy air over ravaged Mount St. Helens in a continuing search for the dead, government officials sorted through the volcanic ash and ruin today in an attempt to compute the ultimate cost of the destruction, estimated at more than $1.5 billion. | PORTLAND, Ore., May 29--As Air Force Reserve and National Guard helicopters coursed through the gloomy air over ravaged Mount St. Helens in a continuing search for the dead, government officials sorted through the volcanic ash and ruin today in an... | Government officials estimate damage at $1.5 billion; estimate includes $500 million in losses suffered because of felled and seared timber, $300 million in cost of reforestation and loss of wildlife and fish; also includes $260 million in agricultural losses, $270 million for repair and replacement of bridges, roads and other facilities, and $250 million in direct unemployment payments and added health and welfare costs; state officials also estimate that 370,000 people are temporarily out of work, and 37,000 others face layoffs; illus (L) | ",1087,25/05/1980, Wayne Special | , VOLCANOES | , , 
4fc4a5da45c1498b0dab9dcf,Article, , RADICAL WINDS IN THE; CARIBBEAN CARIBBEAN CARIBBEAN ,"When most people in the United States think of trouble in the Caribbean, they think of Fidel Castro's Cuba. There have, of course, been occasional outbreaks of violence against North American tourists in...When most people in the United States think of trouble in the Caribbean, they think of Fidel Castro's Cuba. There have, of course, been occasional outbreaks of violence against North American tourists in... | Tad Szulc article examines roots of radical political uprisings in Caribbean that are threatening region with turmoil and revolution; holds Carter Administration views present trend as part of a broad Soviet offensive to win influence over newly independent islands; focuses on Cuban-equipped and trained People's Revolutionary Army in Grenada; map; illustrations (L) | ",4207,25/05/1980, Tad Szulc | , GRENADA | AMERICAN NATIONS AND WESTERN HEMISPHERE POSSESSIONS | , , 
4fc4a6f145c1498b0dabeb76,Article, , BOSTON: THE 'IN' PLACE FOR; COLLEGE STUDENTS BOSTON ,"The first thing we noticed about Harvard Square was not Harvard. That may have been the last thing. The first was probably a poster, maybe one offering draft counseling, perhaps one promoting some blues ...The first thing we noticed about Harvard Square was not Harvard. That may have been the last thing. The first was probably a poster, maybe one offering draft counseling, perhaps one promoting some blues ... | Howard Husock article on Boston as America's college capital; more than 215,000 students attend metropolitan Boston area's 68 colleges; roughly one out of every 16 private-college students in US--some 164,000--attends school in Boston area; some 60% of Boston area's college students come from out of state, majority of these from East; illustrations, including those of students from Simmons, Tufts, MIT, Harvard, Boston University and Northeastern (L) | ",6884,01/06/1980, Howard Husock | , MASSACHUSETTS | COLLEGES AND UNIVERSITIES | , MASSACHUSETTS | , 
4fc4a72a45c1498b0dabfe34,Article, , Love Canal Is Extra Tough on Children; Love Canal Is Especially Tough on the Children Who Still Live There 'I Can't Do Anything at All' Other Factors Are Cited ,"NIAGARA FALLS, N.Y. In the summer of 1978, when a day-care program was set up in the downtown Y.W.C.A. for the children of the chemically contaminated Love Canal neighborhood, the director of the program, Linda Forster, thought that many of them seemed ""shy, disoriented, bitter toward Hooker Chemical Company and the chemical industry in general.""NIAGARA FALLS, N.Y. In the summer of 1978, when a day-care program was set up in the downtown Y.W.C.A. for the children of the chemically contaminated Love Canal neighborhood, the director of the program, Linda Forster, thought that many of them seemed ""shy, disoriented, bitter toward Hooker Chemical Company and the chemical industry in general."" | NIAGARA FALLS, N.Y. In the summer of 1978, when a day-care program was set up in the downtown Y.W.C.A. for the children of the chemically contaminated Love Canal neighborhood, the director of the program, Linda Forster, thought that many of them... | Children in Love Canal area reportedly are suffering stress and strain following finding of chemical contaminants in neighborhood; most children mirror fears and concern of parents; 2 teenage girls have committed suicide; Linda Forster, who runs day-care program, John Lynch of Catholic Charities and Dr James Dunlop, pediatrician, comment; illustration of Dunlop with young patients (L) | ",1698,09/06/1980, Dudley Special | , SEWAGE AND INDUSTRIAL WASTES | , , 
4fc4a85745c1498b0dac489a,Article, , Television , Television ,1402,18/06/1980, , , , 
